Participant,Angle,DesiredResponse,RT
sub40,150,Same,4078.714
sub41,0,Different,1640.667
sub41,0,Same,1409
sub41,50,Different,1918.083
sub41,50,Same,2800.833
sub41,100,Different,2784.455
sub41,100,Same,2956.727
sub41,150,Different,2918.25
sub41,150,Same,4682.375
sub42,0,Different,2322.583
sub42,0,Same,2054.333
sub42,50,Different,1892.917
sub42,50,Same,1997.7
sub42,100,Different,2886.727
sub42,100,Same,2954.636
sub42,150,Different,3186.583
sub42,150,Same,3579.3
sub43,0,Different,1677.833
sub43,0,Same,2033.333
sub43,50,Different,2597.091
sub43,50,Same,3079.9
sub43,100,Different,3058.286
sub43,100,Same,3917
sub43,150,Different,4009.222
sub43,150,Same,4062.667
sub44,0,Different,3089.2
sub44,0,Same,3203.167
sub44,50,Different,4643.545
sub44,50,Same,4221
sub44,100,Different,5336.182
sub44,100,Same,4585.667
sub44,150,Different,6050.167
sub44,150,Same,4304.8
sub45,0,Different,2553.25
sub45,0,Same,1243.333
sub45,50,Different,2446
sub45,50,Same,2773.25
sub45,100,Different,4370.5
sub45,100,Same,4213.545
sub45,150,Different,3384.222
sub45,150,Same,4743.444
sub46,0,Different,3707
sub46,0,Same,1492.5
sub46,50,Different,4227.182
sub46,50,Same,3450.5
sub46,100,Different,4398.1
sub46,100,Same,3460.5
sub46,150,Different,4205.6
sub46,150,Same,4018.545
sub47,0,Different,1978.545
sub47,0,Same,1483.75
sub47,50,Different,2038.5
sub47,50,Same,2976.5
sub47,100,Different,3585.5
sub47,100,Same,3325.333
sub47,150,Different,3865.6
sub47,150,Same,3304.222
sub48,0,Different,2018.25
sub48,0,Same,1077.417
sub48,50,Different,2128
sub48,50,Same,2726.889
sub48,100,Different,3089
sub48,100,Same,3251.091
sub48,150,Different,3517.667
sub48,150,Same,2934.9
sub49,0,Different,2396.25
sub49,0,Same,1609.833
sub49,50,Different,2465.667
sub49,50,Same,2353.083
sub49,100,Different,3033.667
sub49,100,Same,2667.5
sub49,150,Different,3530
sub49,150,Same,3213.167
sub5,0,Different,2909.273
sub5,0,Same,1423.25
sub5,50,Different,3688
sub5,50,Same,1534.583
sub5,100,Different,2653.444
sub5,100,Same,2490.25
sub5,150,Different,2860.909
sub5,150,Same,2454.75
sub50,0,Different,3101
sub50,0,Same,2242.091
sub50,50,Different,3326.545
sub50,50,Same,2787.917
sub50,100,Different,3619.667
sub50,100,Same,3397.083
sub50,150,Different,3523.364
sub50,150,Same,2801.8
sub51,0,Different,1493.286
sub51,0,Same,1415.5
sub51,50,Different,2151.25
sub51,50,Same,1966
sub51,100,Different,2198.6
sub51,100,Same,2952.143
sub51,150,Different,2758.182
sub51,150,Same,2031.571
sub52,0,Different,3200.6
sub52,0,Same,4387.75
sub52,50,Different,2944.6
sub52,50,Same,3061.909
sub52,100,Different,3859.091
sub52,100,Same,3200.545
sub52,150,Different,3355.545
sub52,150,Same,3714.667
sub53,0,Different,4153.545
sub53,0,Same,2300.091
sub53,50,Different,3586.556
sub53,50,Same,4448.25
sub53,100,Different,3886.6
sub53,100,Same,4933.818
sub53,150,Different,4168.364
sub53,150,Same,4529.857
