ID,test_type,assessment,age,gender,education_level,raw_score,gameplays_prior,unique_days_prior,gametime_prior,days_since_first_test,ethnicity,pretest_score,delta,english_nativelang,years_edu,edu_cat,imaginary_screensize,eyesight_z
50765,post,AR,58,female,high school,20,692,433,257.53911685,69.79166666666667,white,102.39649297175713,14.897810553974026,yes,12,hs,1311,-0.32947891557256936
8616,post,AR,57,female,bachelors degree,16,544,470,85.01465156666667,256.625,white,96.35662119210265,8.959556886774195,yes,16,college,1334,-0.35825495139638475
45189,post,AR,24,female,bachelors degree,20,195,194,38.7294348,76.16666666666667,white,120.33554738323792,-3.041243857506771,yes,17,college,1321,0.8055759133454636
10711,post,AR,55,male,associates or some college,15,1246,1215,250.21819991666666,245.70833333333334,white,111.30675057398027,-8.91025760222314,yes,16,college,1329,0.8078625196871502
56522,post,AR,39,female,bachelors degree,16,277,232,53.5359558,70,white,102.39649297175713,2.9196851071197187,yes,15,college,1307,0.547946605202479
54227,post,AR,51,male,bachelors degree,15,33,33,5.896181416666667,96,white,111.30675057398027,-8.91025760222314,yes,16,college,1333,-0.11390755119514966
4399,post,AR,48,female,masters degree or equivalent,23,971,780,235.35942245,105.83333333333333,unspecified,123.17127353035382,2.966525465839851,unspecified,NA,postcollege,1295,0.6467915675966887
55811,post,AR,58,unspecified,bachelors degree,10,2497,440,1010.0686068666668,69.33333333333333,unspecified,105.31617807887685,-18.274949354192202,yes,16,college,1327,-1.8563224515180423
28200,post,AR,43,male,bachelors degree,15,177,142,38.847292016666664,107.125,white,99.27980911701225,3.1166838547448776,yes,16,college,1331,0.43839126415526597
41643,post,AR,32,female,masters degree or equivalent,15,318,216,81.94838866666667,74.25,white,114.37682353660779,-11.98033056485066,yes,19,postcollege,1303,0.32106934503497697
5011,post,AR,46,male,associates or some college,10,3591,1613,1021.45125475,92.33333333333333,hispanic,80.53167586467595,6.5095528600086965,no,15,college,1336,-1.0176346305160306
527,post,AR,53,male,bachelors degree,19,1193,566,424.01474801666666,69.91666666666667,white,117.29430352573115,-2.9174799891233647,yes,16,college,1307,-0.041719653836766825
6856,post,AR,23,male,associates or some college,16,66,59,15.761402683333333,78.20833333333333,white,117.29430352573115,-11.978125446854307,yes,13,college,1327,0.12113722513237599
67852,post,AR,20,female,high school,15,340,335,68.96190031666667,91.70833333333333,unspecified,87.04122872468464,15.355264247072483,unspecified,NA,hs,1301,-0.33974505106166236
19205,post,AR,22,female,bachelors degree,22,534,339,166.40160003333332,89.58333333333333,other,117.29430352573115,5.876970004622663,yes,16,college,1308,1.149505942007826
2333,post,AR,49,female,associates or some college,15,768,371,259.19026435,70.20833333333333,white,87.04122872468464,15.355264247072483,yes,12,college,1333,-1.085350478222875
49175,post,AR,45,male,high school,4,201,195,43.865388716666665,70.75,white,62.201578340765224,3.66151501776244,yes,12,hs,1347,-1.827830288980773
20658,post,AR,54,female,bachelors degree,11,300,270,47.30539483333333,78,white,93.21971245113882,-2.972272999929274,unspecified,14,college,1309,-1.5213435413893672
17391,post,AR,44,female,associates or some college,16,230,224,42.029442083333336,71.83333333333333,native_american,108.3885546641786,-3.072376585301754,yes,15,college,1312,-0.43732631128846927
30789,post,AR,28,female,unspecified,13,304,264,95.18141906666666,71.125,white,90.24743945120954,6.109181740893106,yes,13,unspecified,1325,-1.0361987070683691
10051,post,AR,38,female,masters degree or equivalent,10,189,177,35.09940446666667,92.08333333333333,unspecified,96.35662119210265,-9.315392467418008,unspecified,NA,postcollege,1336,-1.248951715266303
31620,post,AR,20,female,unspecified,22,200,200,42.24660816666667,69.54166666666667,white,120.33554738323792,2.835726147115892,yes,11,unspecified,1288,1.210753773896145
55994,post,AR,57,female,bachelors degree,18,131,131,23.530827016666667,130.125,white,105.31617807887685,5.990572495103422,yes,16,college,1330,-0.21163554756608807
12264,post,AR,59,male,associates or some college,13,244,205,119.18563125,118.20833333333333,white,90.24743945120954,6.109181740893106,yes,14,college,1317,-1.2662210173155657
27122,post,AR,48,unspecified,unspecified,16,792,690,343.50349943333333,70.5,white,105.31617807887685,0,yes,19,unspecified,1324,0.24701711967106135
44553,post,AR,51,female,associates or some college,18,236,210,62.149759833333334,70.95833333333333,white,102.39649297175713,8.91025760222314,yes,14,college,1299,0.511102224806388
38287,post,AR,29,male,high school,18,351,336,84.15131631666667,70.125,white,108.3885546641786,2.9181959098016677,yes,12,hs,1295,0.8261448284802418
32593,post,AR,28,male,phd,25,534,224,182.17479,94.04166666666667,white,129.13989476473813,3.0998092515045528,yes,20,postcollege,1302,1.568637061354406
