ID,test_type,assessment,age,gender,education_level,raw_score,gameplays_prior,unique_days_prior,gametime_prior,days_since_first_test,ethnicity,pretest_score,delta,english_nativelang,years_edu
13811,post,AR,53,female,associates or some college,14,140,136,26.276795133333334,76.08333333333333,white,108.3885546641786,-9.10874554716635,yes,14
50237,post,AR,53,female,masters degree or equivalent,16,64,63,10.8090212,77.79166666666667,white,102.39649297175713,2.9196851071197187,yes,20
43602,post,AR,23,male,bachelors degree,22,463,388,88.85304978333333,267,white,117.29430352573115,5.876970004622663,yes,16
55518,post,AR,29,female,masters degree or equivalent,17,388,375,88.19282281666666,71.875,white,105.31617807887685,3.072376585301754,yes,19
50602,post,AR,57,female,unspecified,9,28,25,3.6500464666666668,219.91666666666666,unspecified,62.201578340765224,21.714802374794445,yes,14
64656,post,AR,52,female,associates or some college,18,608,271,194.66026071666667,92.04166666666667,unspecified,117.29430352573115,-5.987552951750885,unspecified,NA
36565,post,AR,15,female,some high school,23,151,119,52.02512416666667,82.25,white,123.17127353035382,2.966525465839851,yes,9
32848,post,AR,57,female,masters degree or equivalent,21,419,182,88.18579263333334,70.875,white,117.29430352573115,3.041243857506771,yes,18
3385,post,AR,28,female,associates or some college,11,1453,972,766.39772285,72.91666666666667,asian,102.39649297175713,-12.149053520547582,yes,13
35550,post,AR,50,unspecified,unspecified,13,165,162,34.759585,69.16666666666667,unspecified,96.35662119210265,0,yes,14
66848,post,AR,46,male,bachelors degree,16,262,254,57.866707,89.875,unspecified,99.27980911701225,6.036368961864596,unspecified,NA
49617,post,AR,24,female,bachelors degree,16,983,207,431.6770424,71.04166666666667,white,126.13779899619367,-20.82162091731682,yes,16
63928,post,AR,25,female,masters degree or equivalent,18,263,186,110.5506627,90.25,white,96.35662119210265,14.950129381877616,yes,18
16274,post,AR,55,female,associates or some college,16,607,522,122.52012201666666,70.58333333333333,white,99.27980911701225,6.036368961864596,yes,15
41587,post,AR,36,male,high school,19,404,363,90.10683211666667,152,black,96.35662119210265,18.020202344505137,yes,12
13429,post,AR,41,male,high school,21,508,416,161.14123,69.79166666666667,white,117.29430352573115,3.041243857506771,no,12
38689,post,AR,32,female,unspecified,21,327,323,73.4769822,69.75,white,108.3885546641786,11.946992719059324,yes,14
11887,post,AR,38,female,associates or some college,20,25,25,3.867408666666667,217.875,unspecified,108.3885546641786,8.905748861552553,unspecified,NA
55139,post,AR,25,female,bachelors degree,22,694,676,218.76780665,70.29166666666667,white,120.33554738323792,2.835726147115892,yes,16
42346,post,AR,42,female,associates or some college,18,345,287,90.13219821666667,69.54166666666667,white,117.29430352573115,-5.987552951750885,yes,15
69174,post,AR,59,male,bachelors degree,6,139,138,24.55917505,89.91666666666667,unspecified,73.62967004333692,0,unspecified,NA
68846,post,AR,50,female,bachelors degree,6,564,489,190.30282603333333,96.54166666666667,unspecified,83.91638071555967,-10.286710672222753,unspecified,NA
35490,post,AR,42,male,phd,13,78,77,15.493525333333332,69.875,white,90.24743945120954,6.109181740893106,yes,20
9775,post,AR,59,male,bachelors degree,17,684,552,204.05241223333334,70.04166666666667,unspecified,102.39649297175713,5.992061692421473,unspecified,NA
14314,post,AR,51,female,bachelors degree,17,588,359,198.29545045000003,69.66666666666667,white,108.3885546641786,0,yes,16
29110,post,AR,53,female,bachelors degree,20,130,117,18.286132016666667,70.79166666666667,white,105.31617807887685,11.978125446854307,yes,16
29340,post,AR,27,male,high school,18,322,304,89.71203848333333,70.16666666666667,white,108.3885546641786,2.9181959098016677,yes,12
56216,post,AR,53,female,bachelors degree,13,44,44,8.13878835,216.375,white,111.30675057398027,-14.950129381877616,yes,16
42185,post,AR,39,female,high school,13,228,225,44.1691824,69.41666666666667,white,99.27980911701225,-2.9231879249095982,yes,12
23224,post,AR,51,female,associates or some college,15,665,243,183.64173026666666,74.95833333333333,white,99.27980911701225,3.1166838547448776,yes,14
63658,post,AR,27,male,masters degree or equivalent,26,114,111,18.9731698,180.875,unspecified,132.23970401624268,2.9618667360464883,unspecified,NA
63694,post,AR,53,male,associates or some college,13,1526,438,398.10496551666665,90.54166666666667,unspecified,93.21971245113882,3.1369087409638325,unspecified,NA
49195,post,AR,58,female,masters degree or equivalent,23,223,217,57.85786816666667,69.79166666666667,white,117.29430352573115,8.843495470462514,yes,18
9148,post,AR,57,female,associates or some college,23,283,209,94.70480171666667,76.04166666666667,white,123.17127353035382,2.966525465839851,yes,13
61650,post,AR,47,male,bachelors degree,21,333,271,112.16042968333333,69.875,white,102.39649297175713,17.939054411480797,yes,16
60400,post,AR,44,female,associates or some college,26,787,539,270.1997738833333,91,unspecified,140.71744330095035,-5.515872548661179,unspecified,NA
32319,post,AR,54,female,masters degree or equivalent,12,407,301,93.24553095,83.83333333333333,unspecified,102.39649297175713,-9.176780520618308,unspecified,NA
44840,post,AR,21,female,associates or some college,20,923,856,202.17961843333333,128.04166666666666,white,126.13779899619367,-8.843495470462514,yes,15
19842,post,AR,41,male,masters degree or equivalent,5,125,122,21.6962056,404.9166666666667,hispanic,87.04122872468464,-16.906262922473417,no,20
21973,post,AR,39,male,bachelors degree,15,334,277,73.88882918333334,69.79166666666667,unspecified,99.27980911701225,3.1166838547448776,unspecified,NA
58905,post,AR,51,female,masters degree or equivalent,8,37,37,7.496183083333333,87.5,unspecified,93.21971245113882,-12.688036586462871,yes,17
2732,post,AR,57,female,bachelors degree,10,1550,428,406.8405021166667,92,white,93.21971245113882,-6.178483726454175,yes,15
57927,post,AR,50,female,masters degree or equivalent,12,24,23,5.35663,264.625,white,93.21971245113882,0,yes,19
7925,post,AR,25,male,bachelors degree,10,154,111,46.85583935,96.45833333333333,white,93.21971245113882,-6.178483726454175,yes,16
21213,post,AR,41,female,bachelors degree,8,37,34,17.198226033333334,157.54166666666666,white,87.04122872468464,-6.5095528600086965,yes,16
1681,post,AR,38,male,masters degree or equivalent,18,827,488,280.01507126666667,104.875,white,114.37682353660779,-3.0700729626275205,yes,18
57171,post,AR,51,female,associates or some college,16,138,132,37.931501733333334,77.41666666666667,white,108.3885546641786,-3.072376585301754,yes,15
42304,post,AR,41,male,associates or some college,22,213,173,47.25018596666667,70,white,117.29430352573115,5.876970004622663,yes,15
49806,post,AR,35,male,high school,16,48,48,8.875954583333334,74.79166666666667,black,111.30675057398027,-5.990572495103422,yes,12
11893,post,AR,17,male,some high school,27,801,519,254.36494795000002,69.41666666666667,white,123.17127353035382,14.908597834105407,yes,11
13741,post,AR,35,male,some high school,11,366,293,93.59409845,69.20833333333333,white,77.24992505278499,12.997514398424556,no,14
13955,post,AR,50,female,bachelors degree,18,220,196,53.283361400000004,70.5,white,102.39649297175713,8.91025760222314,yes,16
34419,post,AR,49,male,masters degree or equivalent,20,334,292,112.55298595000001,71.83333333333333,white,126.13779899619367,-8.843495470462514,yes,16
44745,post,AR,41,male,masters degree or equivalent,20,590,507,168.33482066666667,75.875,white,126.13779899619367,-8.843495470462514,yes,20
22720,post,AR,30,male,masters degree or equivalent,24,547,381,103.47024466666667,69.91666666666667,white,126.13779899619367,3.0020957685444642,yes,17
8963,post,AR,54,female,associates or some college,8,550,540,91.0416155,70.04166666666667,white,70.13496580221123,10.39671006246472,yes,14
18674,post,AR,38,male,bachelors degree,22,387,341,56.020395666666666,93.91666666666667,unspecified,111.30675057398027,11.864522956373548,unspecified,NA
27591,post,AR,42,female,bachelors degree,6,545,287,200.2604481,127.125,black,77.24992505278499,-3.6202550094480728,yes,17
44278,post,AR,38,female,masters degree or equivalent,18,115,104,38.94468466666667,70.25,other,102.39649297175713,8.91025760222314,yes,19
64597,post,AR,34,male,high school,9,268,260,59.70793105,99,unspecified,93.21971245113882,-9.30333173557915,unspecified,NA
4928,post,AR,27,male,masters degree or equivalent,16,60,58,12.494646083333334,74.08333333333333,white,87.04122872468464,18.274949354192202,no,18
41312,post,AR,39,unspecified,unspecified,21,538,276,131.82033338333335,69.54166666666667,white,111.30675057398027,9.028796809257656,yes,16
41588,post,AR,20,female,high school,16,340,299,73.53905926666667,287.0416666666667,hispanic,96.35662119210265,8.959556886774195,yes,12
26966,post,AR,18,female,high school,17,387,362,86.28493738333334,90.375,unspecified,102.39649297175713,5.992061692421473,unspecified,NA
23895,post,AR,54,female,masters degree or equivalent,21,76,75,15.733056533333334,113.375,white,111.30675057398027,9.028796809257656,yes,20
