field,participants_n,participants_male,participants_female,participants_nonbin,race_ethn_reported,income_or_ses_reported,location_reported,general_sample,participants_asian_pacificislander,participants_black,participants_latinx,participants_native_am,participants_white,participants_multi_other,id,soc,cog,dev,pers,conbeh,neuro,other,field_combo,singlefield
conbeh,697,322,375,NA,0,0,1,yes,NA,NA,NA,NA,NA,NA,88,0,0,0,0,1,0,0,conbeh,1
conbeh,502,NA,NA,NA,1,0,1,yes,NA,NA,NA,NA,NA,NA,89,0,0,0,0,1,0,0,conbeh,1
conbeh,236,NA,NA,NA,0,0,1,yes,NA,NA,NA,NA,NA,NA,90,0,0,0,0,1,0,0,conbeh,1
conbeh,341,190,151,NA,0,0,1,yes,NA,NA,NA,NA,NA,NA,91,0,0,0,0,1,0,0,conbeh,1
conbeh,136,NA,NA,NA,0,0,1,yes,NA,NA,NA,NA,NA,NA,92,0,0,0,0,1,0,0,conbeh,1
conbeh,305,NA,NA,NA,0,0,1,yes,NA,NA,NA,NA,NA,NA,93,0,0,0,0,1,0,0,conbeh,1
conbeh,197,NA,NA,NA,0,0,0,yes,NA,NA,NA,NA,NA,NA,94,0,0,0,0,1,0,0,conbeh,1
conbeh,442,184,258,NA,0,0,1,yes,NA,NA,NA,NA,NA,NA,95,0,0,0,0,1,0,0,conbeh,1
social,86,16,70,0,1,1,1,yes,4,12,68,0,1,1,96,1,0,0,0,0,0,0,soc,0
social,255,60,195,0,1,0,1,yes,0,0,102,0,153,0,97,1,0,0,0,0,0,0,soc,0
social,367,155,212,0,1,0,1,yes,NA,NA,0,NA,303,NA,98,1,0,0,0,0,0,0,soc,0
"dev,social",902,572,535,0,0,0,1,yes,NA,NA,NA,NA,NA,NA,99,1,0,1,0,0,0,0,socdev,1
"dev,cog,neuro",123,61,62,0,1,1,1,yes,4,3,0,0,102,14,100,0,1,1,0,0,1,0,cogdevneuro,0
"social,cog,neuro",47,22,25,0,0,0,1,yes,NA,NA,NA,NA,NA,NA,101,1,1,0,0,0,1,0,soccogneuro,0
neuro,25,5,20,0,0,0,1,yes,NA,NA,NA,NA,NA,NA,102,0,0,0,0,0,1,0,neuro,1
social,67,24,43,0,0,1,1,yes,NA,NA,NA,NA,NA,NA,103,1,0,0,0,0,0,0,soc,0
"dev,social",726,363,363,0,1,1,1,yes,15,87,442,7,131,44,104,1,0,1,0,0,0,0,socdev,1
social,875,281,503,1,1,1,1,yes,196,87,38,5,492,21,105,1,0,0,0,0,0,0,soc,0
