"","id","session","stresscond","stresslevel","group","order","date","warehouse_Time_to_eliminate_enemies_total","warehouse_Distance_rifle_moved_total","warehouse_Shots_fired_total","warehouse_Number_of_hits_total","warehouse_Number_of_misses_total","warehouse_Hits_per_shots_fired_total","warehouse_Misses_per_shots_fired_total","warehouse_Hits_on_enemies_total","warehouse_Hits_on_hostages_total","warehouse_Hits_on_enemies_per_shots_fired_total","warehouse_Hits_on_hostages_per_shots_fired_total","warehouse_Points_per_shots_fired_total","warehouse_Average_total_radial_error_of_all_chest_shots_fired_total","warehouse_Average_total_radial_error_of_all_head_shots_fired_total","warehouse_Standard_deviation_average_total_radial_error_per_chest_shots_fired_total","warehouse_Standard_deviation_average_total_radial_error_per_head_shots_fired_total","warehouse_Time_to_aim_at_avatars_total","warehouse_Time_until_action_taken_total","warehouse_Total_performance_score","warehouse_Total_performance_score_rep","warehouse_Total_performance_score_revtime","range_shots_fired","range_total_hits","range_total_points","range_total_radial_error","range_total_standard_deviation","range_total_time_to_aim","range_total_time_to_shoot","HR.baseline","HRV.baseline","HRConfidenceGT50.baseline","HR.warehouse","HRV.warehouse","HRConfidenceGT50.warehouse","meanscl_baseline","meanscl_warehouse","scrnsf_baseline","scrnsf_warehouse","scramp_baseline","scramp_warehouse","scrrise_baseline","scrrise_warehouse","scrrec_baseline","scrrec_warehouse","scronset_baseline","scronset_warehouse","STICSACOG_BL","STICSASOM_BL","STICSACOG_PT","STICSASOM_PT","STICSACOG_PW","STICSASOM_PW","sample_timing","aa_mean_time1","aa_mean_time2","aa_mean_time3","aa_mean_time4","cort_mean_time1","cort_mean_time2","cort_mean_time3","cort_mean_time4"
"107",54,1,"LS","Low_Stress","Reappraisal",2,2018-08-07,801.2881,349.4685,578,13,565,0.02313167,0.9809886,12,1,0.02264151,0.001779359,4287.5,0.001728606,0.000789536,0.000715484,0.0008011346,1044.946,18.20988,785,784.82174688057,101.428571428571,40,8,115,152.9398,1958.339,216.2145,18.59313,65.8595238095238,68.0142857142857,0.807142857142857,98.6885416666667,NA,0.0427083333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,18,20,16,20,16,"intended",49.7,65.6,58.7,63.3,0.217,0.221,0.191,0.146
"108",54,2,"HS","High_Stress","Reappraisal",2,2018-08-08,801.2253,205.8727,699,19,679,0.03059581,0.97411,18,1,0.02898551,0.001626016,5400,0.002023777,0.001030945,0.001598999,0.002006477,1031.238,31.83691,785,784.862660944206,81.9048780487805,40,7,135,131.5121,1319.084,113.479,17.10516,76.2722222222222,NA,0.638888888888889,92.7535087719298,52.4736842105263,0.942982456140351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,16,22,18,22,18,"intended",36.4,69.2,50.5,33,0.179,0.271,0.257,0.174
"109",55,1,"LS","Low_Stress","Mindfulness",2,2018-08-09,756.0738,351.6705,538,194,327,0.3605948,0.6168582,184,10,0.3420074,0.01897533,54587.5,0.08155674,0.001700621,7.109174,0.004896628,894.1913,168.9209,606.5,606.732342007435,12.2876447876448,40,29,970,569.7422,75682.92,112.8877,118.6234,81.8285714285714,NA,1,97.5333333333333,34.769298245614,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,14,14,20,22,27,"intended",292.4,234.8,254.5,270.3,0.102,0.159,0.158,0.214
"110",55,2,"HS","High_Stress","Mindfulness",2,2018-08-10,728.1469,301.1778,356,183,168,0.5140449,0.4798851,180,3,0.505618,0.00867052,57503.13,0.06607488,0.001317319,0.9389652,0.001394742,858.8166,204.1528,749,748.762640449438,189.906069364162,40,24,720,446.9226,45355.36,96.99185,74.05654,90.2738095238095,NA,0.519047619047619,94.412962962963,34.0814814814815,0.919444444444444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,17,14,18,14,22,"intended",188.8,245.2,255.2,322.4,0.108,0.104,0.094,0.094
"111",56,1,"HS","High_Stress","Control",1,2018-08-13,734.4916,371.7665,543,203,279,0.3759259,0.5232558,192,11,0.3555556,0.02048417,56928.13,0.05624608,0.001446088,1.634031,0.003209726,906.4764,156.3481,566.5,566.419889502762,36.8021653543307,40,25,775,472.9727,46458.82,154.5193,64.40136,64.9950124688279,NA,0.922693266832918,89.5177083333333,73.5083333333333,0.804166666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,11,15,22,11,15,"intended",202.9,66.6,111.2,135.5,0.093,0.121,0.125,0.095
"112",56,2,"LS","Low_Stress","Control",1,2018-08-14,655.4455,339.3353,623,186,350,0.3190731,0.5617977,182,4,0.3137255,0.006568145,59168.75,0.06953377,0.001676816,2.442388,0.005222131,942.8549,120.0563,622.5,622.487158908507,234.163652802893,40,20,675,385.9788,27731.67,123.2792,55.67574,77.8214285714286,NA,0.995238095238095,85.3254901960784,69.721568627451,0.942156862745098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,12,14,12,12,15,"intended",63.5,48.9,64.6,55.9,0.165,0.103,0.096,0.078
"113",57,1,"HS","High_Stress","Mindfulness",1,2018-08-13,708.3016,387.5116,1004,195,763,0.199148,0.7602398,184,11,0.1874334,0.01178993,54315.63,0.02046674,0.004556892,0.2731279,0.2410122,965.1313,98.06511,515,515.076769690927,-1.96838156484458,41,26,1015,555.5004,75850.55,67.21227,37.76984,73.1125,NA,1,88.8463227222832,NA,0.638858397365532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,14,12,15,11,14,"intended",40.8,49.4,53,53.6,0.48,0.194,0.183,0.174
"114",57,2,"LS","Low_Stress","Mindfulness",1,2018-08-14,666.3677,409.5512,994,209,719,0.2194046,0.7247984,200,9,0.2105843,0.009063444,57312.5,0.07658087,0.003902663,5.63808,0.1505822,961.9966,100.9094,530,529.811491935484,101.670011148272,41,19,655,366.0191,21079.47,77.1964,20.78754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,10,14,10,14,"intended",65.3,92.3,88.4,94.1,0.565,0.266,0.247,0.225
"115",58,1,"LS","Low_Stress","Mindfulness",2,2018-08-14,742.9468,369.4649,766,198,514,0.2591623,0.6791946,184,14,0.2408377,0.01842105,56346.88,0.03129923,0.004974193,0.6162267,0.2466249,937.2213,125.539,500,499.780026109661,-68.450940860215,40,16,455,310.6534,14906.75,84.7543,30.38997,64.8145833333333,NA,0.958333333333333,77.0313725490196,NA,0.302941176470588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,14,13,11,14,13,"intended",200.2,182.5,243.7,234.2,0.207,0.128,0.111,0.105
"116",58,2,"HS","High_Stress","Mindfulness",2,2018-08-15,657.8569,381.9548,851,208,591,0.2563452,0.6944771,194,14,0.2398477,0.0173913,58706.25,0.193592,0.004258139,127.9802,0.1385535,953.4247,109.6483,412.5,412.492361927145,16.280724450194,40,16,555,304.3976,14053.14,67.54147,19.22665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,11,12,11,11,12,"intended",204.3,146.6,182.5,290.9,0.151,0.11,0.1,0.1
"117",59,1,"HS","High_Stress","Reappraisal",1,2018-08-15,780.9189,363.1978,302,183,118,0.6101083,0.3972603,177,6,0.5920578,0.02013423,54528.13,0.245954,0.005222684,161.8135,0.04756025,816.6829,246.4375,751.5,751.278145695364,110.379061371841,40,17,530,316.2724,16216.46,80.73985,24.67068,67.3803418803419,NA,0.634615384615385,75.2696078431373,70.4950980392157,0.904901960784314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,13,10,11,10,17,"intended",88.7,109.6,83.3,71.2,0.217,0.101,0.102,0.086
"118",59,2,"LS","Low_Stress","Reappraisal",1,2018-08-16,760.9841,406.3858,356,176,179,0.5,0.5073746,170,6,0.4829545,0.01734104,50796.88,0.05714728,0.008912684,1.090554,0.2892729,857.7203,205.2102,712.5,712.344101123595,109.034534534535,40,14,395,269.1137,9342.576,78.06427,23.86234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,13,11,13,10,15,"intended",76.9,136.6,127.1,99.1,0.225,0.126,0.101,0.098
"119",60,1,"LS","Low_Stress","Control",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,55,3015,1248.806,473571.9,13.93219,33.9997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,15,17,20,17,36,"intended",63.8,70,54,56.4,0.092,0.064,0.063,0.06
"120",60,2,"HS","High_Stress","Control",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"intended",NA,NA,NA,NA,NA,NA,NA,NA
"121",61,1,"HS","High_Stress","Mindfulness",1,2018-09-13,757.5747,366.7842,430,200,221,0.4651163,0.5240384,182,18,0.4232558,0.04245283,56150,0.07134987,0.01622781,3.070824,1.028314,866.5345,196.3046,463.5,463.290697674419,-114.69099756691,40,21,825,394.312,30856.64,154.6345,39.12427,88.0095238095238,NA,0.895238095238095,99.0598039215686,59.9460784313725,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,12,16,12,10,15,"intended",146.9,149.9,135.5,139.2,0.329,0.265,0.24,0.264
"122",61,2,"LS","Low_Stress","Mindfulness",1,2018-09-14,707.2595,357.6855,433,226,193,0.5275,0.4473068,204,22,0.4775,0.05225653,57843.75,0.04633144,0.02226909,0.5254449,4.104631,870.9819,187.035,334,333.949074074074,-145.8675,40,17,625,321.3894,16908.62,131.677,26.02015,74.9122807017544,NA,0.996491228070175,79.96,98.0504761904762,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,13,10,14,10,13,"intended",111.4,172.7,141.5,172.5,0.372,0.437,0.37,0.348
"123",62,1,"LS","Low_Stress","Reappraisal",2,2018-09-20,685.9489,497.6223,589,187,369,0.3190395,0.6320583,183,4,0.3121784,0.006932409,56346.88,0.04001534,0.004784551,0.682597,0.1432655,940.7798,122.0374,654,653.995741056218,201.130236794171,40,27,885,513.5735,60798.12,61.76263,36.37868,66.8595238095238,NA,1,76.4010256410256,NA,0.623589743589744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,16,15,15,16,16,"intended",64.5,95.4,71.3,46.2,0.269,0.156,0.136,0.156
"124",62,2,"HS","High_Stress","Reappraisal",2,2018-09-21,603.1734,447.4415,607,193,367,0.3432282,0.6046128,187,6,0.3339518,0.01036269,60487.5,0.06788976,0.001829733,4.499584,0.005077448,948.2734,114.5333,533,533.072847682119,248.996240601504,40,18,640,352.9532,20306.79,73.52491,24.68904,70.96875,NA,1,86.1303921568627,65.2254901960784,0.993137254901961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,15,15,12,15,14,"intended",107.4,82.5,72.3,61.3,0.188,0.125,0.106,0.092
"125",63,1,"HS","High_Stress","Control",1,2018-10-04,748.6769,399.989,867,193,657,0.2238979,0.7637231,181,12,0.2099768,0.01400233,52668.75,0.01961784,0.01013629,0.4084614,2.214976,935.3673,127.604,539.5,539.374279123414,-40.1979542719615,40,26,765,500.1161,60023.65,132.8809,37.80371,62.4807692307692,NA,0,115.111403508772,NA,0.863157894736842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,19,22,27,24,25,"intended",136.8,138.3,116.3,94,0.691,0.403,0.397,0.386
"126",63,2,"LS","Low_Stress","Control",1,2018-10-05,666.7324,420.0492,585,194,379,0.3757455,0.6478633,191,3,0.3697813,0.006036217,56643.75,0.04196592,0.006054345,0.6042756,0.2052602,953.586,109.2433,655.5,655.413675213675,226.030181086519,40,26,795,498.2983,58193.4,43.0889,19.18703,81.1952380952381,NA,0.980952380952381,96.0814814814815,55.7194444444444,0.989814814814815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,21,24,21,22,21,"intended",60,94,54.1,85.4,0.549,0.397,0.332,0.292
"127",64,1,"LS","Low_Stress","Mindfulness",2,2018-10-18,695.4516,440.3953,477,197,239,0.4148936,0.505423,189,8,0.3987069,0.01709402,56309.38,0.1484935,0.01012678,102.9477,0.6150545,935.7849,127.03,594,594.024109014675,122.511210762332,40,28,1000,518.6812,62787.71,41.48359,20.42664,63.7483870967742,NA,0,47.7578534031414,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,14,14,17,10,15,"intended",97.9,267.8,182.4,178.6,0.131,0.173,0.171,0.182
"128",64,2,"HS","High_Stress","Mindfulness",2,2018-10-19,722.5823,341.6535,652,206,391,0.3200663,0.6031746,197,9,0.3084577,0.01417323,56081.25,0.07366512,0.004422665,4.391071,0.1095005,905.5292,157.3317,586,586.006901840491,79.9841930116472,40,22,800,428.4161,36552.61,45.92175,27.97168,NA,NA,NA,65.1270161290323,NA,0.0120967741935484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,11,11,11,11,14,"intended",145.3,127.8,237.3,159.4,0.164,0.143,0.182,0.132
"129",65,1,"HS","High_Stress","Reappraisal",1,2018-11-01,686.5977,487.6364,557,195,325,0.3539326,0.586521,186,9,0.3389513,0.01636364,56965.63,0.04626055,0.01663372,0.7850772,1.528101,952.354,110.6839,558,558.13644524237,103.367172675522,40,19,560,376.1682,25185.32,69.29446,19.69606,83.8979166666667,NA,1,99.178431372549,32.9176470588235,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,14,16,12,11,17,"intended",28.5,42.6,32.8,44.3,0.535,0.253,0.21,0.228
"130",65,2,"LS","Low_Stress","Reappraisal",1,2018-11-02,675.9883,360.9216,644,196,411,0.3048212,0.6450079,194,2,0.3017107,0.003139718,57440.63,0.03862164,0.003218448,0.8528511,0.04083782,942.8813,120.0915,680.5,680.597049689441,246.722402597403,40,20,625,384.0887,26774.64,57.91687,15.8162,82.9759259259259,NA,0.97962962962963,112.009259259259,24.1962962962963,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,12,11,11,10,15,"intended",29.4,26.2,32.1,43.3,0.684,0.275,0.314,0.321
"131",66,1,"HS","High_Stress","Mindfulness",1,2018-11-08,667.7908,433.8345,687,195,455,0.2838428,0.6691505,188,7,0.2736536,0.01047904,57103.13,0.03686409,0.02804589,0.62292,14.50017,970.8839,92.2365,569.5,569.559679767103,131.685628742515,42,25,775,490.6892,49552.23,255.5945,28.67646,NA,NA,NA,54.5968586387435,NA,0.0732984293193717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,13,10,13,10,16,"intended",197,238.5,210.2,190.6,0.501,0.235,0.193,0.174
"132",66,2,"LS","Low_Stress","Mindfulness",1,2018-11-09,661.4501,424.2158,448,200,235,0.4464286,0.5348837,195,5,0.4352679,0.01162791,58443.75,0.1413014,0.01091521,26.48072,0.6118001,934.3361,126.7097,626,626.227678571429,198.324418604651,40,24,720,449.0788,42852.86,89.26182,27.88451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,10,13,11,13,"intended",216.2,123.8,95.8,108.4,0.857,0.457,0.337,0.284
"133",67,1,"LS","Low_Stress","Control",2,2018-11-27,801.2041,336.9395,683,76,600,0.112426,0.8828829,76,0,0.112426,0,23078.13,0.01032562,0.00124211,0.06433948,0.002739083,1000.531,62.66302,818,817.89458272328,114.25462962963,42,2,35,43.28693,51.27816,74.59346,5.036406,NA,NA,NA,60.7037037037037,NA,0.0336700336700337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,14,19,19,13,17,"intended",15.4,31.2,21.8,29.4,0.406,0.236,0.21,0.242
"134",67,2,"HS","High_Stress","Control",2,2018-11-30,799.2723,349.9436,1212,135,1053,0.1136974,0.8706383,133,2,0.1119069,0.001798561,40328.13,0.01613002,0.002217458,0.2166047,0.0433981,1000.861,62.23323,775.5,775.63696369637,76.5651978417266,40,0,0,0,0,44.0113,0,NA,NA,NA,87.5088235294118,NA,0.93921568627451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,16,21,16,21,18,"intended",17.1,63.3,39.7,40.8,0.552,0.433,0.362,0.346
"135",68,1,"HS","High_Stress","Control",1,2018-11-29,733.5655,373.0138,1233,205,963,0.1688425,0.7813559,195,10,0.1618799,0.008326394,55575,0.01576818,0.00234334,0.2122209,0.06038736,977.5069,85.34593,556.5,556.580304311074,27.9200351493849,40,5,95,94.78557,522.8467,293.9999,12.9766,65,NA,0,64.5809523809524,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,16,15,16,11,27,"intended",75.8,129.2,113,108.1,0.146,0.261,0.241,0.275
"136",68,2,"LS","Low_Stress","Control",1,2018-11-30,725.4022,358.6933,1322,208,1056,0.1637573,0.7987897,202,6,0.159601,0.004672897,55515.63,0.01536253,0.002989161,0.195621,0.1158147,985.364,78.01867,626,626.060698027314,95.6088944305902,41,6,190,111.6073,855.759,100.6372,6.757571,87.2234513274336,NA,0.856194690265487,85.45,61.9291666666667,0.999305555555556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,15,23,17,19,23,"intended",48.2,86.8,93.2,123.8,0.138,0.257,0.222,0.207
"137",69,1,"LS","Low_Stress","Mindfulness",2,2018-12-04,781.47,581.7206,813,166,619,0.2062112,0.7642586,149,17,0.1850932,0.02151899,39556.25,0.01412141,0.005448097,0.1284578,0.3039379,980.5933,82.38426,465.5,465.327183271833,-177.709210526316,40,20,580,387.1087,27990.22,281.6595,62.067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,13,11,18,11,24,"intended",69.2,56.1,33.9,41.3,0.305,0.2,0.178,0.185
"138",69,2,"HS","High_Stress","Mindfulness",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"intended",NA,NA,NA,NA,NA,NA,NA,NA
"139",70,1,"LS","Low_Stress","Reappraisal",2,2019-01-22,801.2208,297.9659,499,136,356,0.28125,0.7212389,121,15,0.25,0.03164557,34903.13,0.02072448,0.01044064,0.1603436,0.6984339,891.1399,171.8703,539.5,539.738853503185,-106.038116591928,41,17,675,332.0388,17433.91,175.3438,47.1558,54.1276595744681,NA,0.117021276595745,62.6446280991736,NA,0.0909090909090909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,11,12,18,10,20,"intended",80.2,288,169.9,106.6,0.223,0.21,0.164,0.143
"140",70,2,"HS","High_Stress","Reappraisal",2,2019-01-24,758.1712,415.0355,534,189,336,0.3539326,0.6367188,182,7,0.340824,0.01313321,49393.75,0.03760291,0.009115987,0.3074438,0.6775008,897.4169,165.4221,664,664.249063670412,65.9765625,42,22,665,426.4814,36950.88,95.15891,44.32072,NA,NA,NA,67.1532846715328,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,14,12,12,10,20,"intended",152,245.8,178.1,109.4,0.368,0.197,0.175,0.199
"141",71,1,"HS","High_Stress","Mindfulness",1,2019-01-22,801.2673,251.8294,300,63,237,0.2178571,0.7926421,58,5,0.2035714,0.01666667,19621.88,0.01898138,0.00323081,0.05078997,0.01128676,942.8965,120.1676,751,750.8127090301,51.9678571428572,40,4,120,76.12338,287.6646,289.845,16.52259,NA,NA,NA,56.3921568627451,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,14,20,12,19,26,"intended",232.7,142.2,129.4,90.4,0.149,0.119,0.083,0.065
"142",71,2,"LS","Low_Stress","Mindfulness",1,2019-01-24,801.2218,291.0554,356,111,245,0.3153409,0.6938776,106,5,0.3023952,0.01453488,34071.88,0.03063642,0.004212843,0.1347857,0.02704749,880.871,182.0847,749,748.85393258427,65.6398176291793,40,2,75,37.70461,47.38723,207.3141,13.08533,NA,NA,NA,89,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,17,19,13,11,18,"intended",139.9,133,101.8,94.6,0.169,0.181,0.157,0.146
"143",72,1,"LS","Low_Stress","Control",2,2019-01-29,773.6887,297.2531,543,173,359,0.3381148,0.6611418,164,9,0.3196721,0.01848049,45600,0.05205184,0.005726,1.117236,0.1564212,905.3002,157.5928,636,635.988950276243,-9.72279260780289,46,37,1495,802.6771,163691.6,58.85664,43.64845,50.1101321585903,NA,0.066079295154185,104.896305125149,NA,0.258641239570918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,20,24,24,24,23,"intended",93.5,115.8,101.8,86.6,0.107,0.081,0.078,0.08
"144",72,2,"HS","High_Stress","Control",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,37,1285,784.8167,158554.6,66.61197,50.05494,NA,NA,NA,62.9729119638826,NA,0.00677200902934537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,22,24,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145",73,1,"HS","High_Stress","Mindfulness",1,2019-02-05,801.2355,223.1509,368,149,217,0.4110787,0.5964392,126,23,0.3460411,0.0670554,36906.25,0.03179961,0.006658598,0.2378165,0.121842,850.874,212.203,391.5,391.280653950954,-251.838905775076,40,10,225,185.1228,3654.754,252.9875,14.02911,72.2297297297297,NA,0,58.7419786096257,NA,0.0294117647058824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,11,18,11,18,16,"intended",53.1,206.1,83.6,93,0.829,0.395,0.329,0.282
"146",73,2,"LS","Low_Stress","Mindfulness",1,2019-02-07,801.2525,211.6241,510,137,373,0.2740899,0.7346939,129,8,0.261242,0.01619433,40162.5,0.02007126,0.009788364,0.09796565,0.6122929,898.4874,164.6542,680.5,680.374509803922,38.3532608695652,40,15,435,279.0581,11581.57,127.0337,24.56762,64.8108108108108,NA,0,73.5140186915888,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,11,19,11,18,12,"intended",80.7,127.1,109.7,93.8,NA,0.477,0.483,0.429
"147",74,1,"HS","High_Stress","Mindfulness",1,2019-02-05,781.0459,250.3102,775,118,648,0.1629834,0.836129,114,4,0.1574586,0.005524862,31084.38,0.008518213,0.02073447,0.04616212,6.886398,934.0084,98.80386,721,721.054193548387,39.4668508287293,40,23,680,435.6628,39139.66,309.701,68.76189,62.2297297297297,NA,0,78.7095238095238,80.4198412698413,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,17,11,25,10,19,"intended",94,91.7,116.1,79.9,0.116,0.101,0.102,0.1
"148",74,2,"LS","Low_Stress","Mindfulness",1,2019-02-07,675.4434,345.6184,606,203,374,0.3349835,0.6298811,199,4,0.3283828,0.006633499,56565.63,0.2002752,0.01071839,76.07264,1.427659,924.9734,137.6742,641.5,641.671617161716,208.392006802721,40,22,775,410.6499,35304.14,83.50451,34.01193,70.9625,NA,0,69.6036269430052,NA,0.637305699481865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,12,13,13,12,17,"intended",118.1,92.8,74,82.5,0.104,0.093,0.067,0.064
"149",75,1,"LS","Low_Stress","Reappraisal",2,2019-02-12,698.5905,384.431,473,212,254,0.4519016,0.5406594,198,14,0.4228188,0.03030303,58159.38,0.1277124,0.008253124,43.13484,0.3470987,890.8748,171.6191,480.5,480.609110169491,1.02934537246051,40,25,635,467.9201,45348.66,124.696,59.01636,60.3636363636364,NA,0,77.1345419847328,NA,0.0152671755725191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,14,10,18,"intended",21,33.6,28.2,28.7,0.33,0.115,0.094,0.096
"150",75,2,"HS","High_Stress","Reappraisal",2,2019-02-14,663.8179,388.908,484,202,265,0.4353448,0.5475206,201,1,0.4331897,0.002247191,56746.88,0.0412394,0.005471781,0.5090507,0.137787,914.7224,148.3314,702.5,702.744306418219,275.066292134831,40,21,710,391.4508,30694.8,88.88541,33.82273,49.1485148514851,NA,0,64.4526315789474,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,12,11,14,10,15,"intended",22.8,46.7,63,50.2,0.354,0.199,0.142,0.147
"151",76,1,"HS","High_Stress","Reappraisal",1,2019-02-12,749.7463,353.9328,362,198,163,0.5484765,0.461318,188,10,0.5207756,0.02808989,52996.88,0.1830846,0.03731075,55.67094,2.629848,858.9741,203.9486,623,623.200276243094,39.7865329512894,40,17,430,314.3397,16668.76,198.6974,62.16661,65,NA,0,66.9965635738832,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,23,22,22,17,22,"intended",91,123.7,68.7,76.1,0.646,0.412,0.348,0.35
"152",76,2,"LS","Low_Stress","Reappraisal",1,2019-02-15,772.1567,371.6522,349,177,172,0.5248447,0.4928367,171,6,0.5093167,0.01846154,45306.25,0.02274818,0.06836695,0.05175427,18.62358,857.4564,205.4238,717,716.908309455587,94.0189873417721,NA,NA,NA,NA,NA,NA,NA,89.3877551020408,NA,0.244897959183673,59.4612546125461,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,22,13,15,16,17,"shorter",74.9,140.9,58.7,90,0.289,0.198,0.135,0.107
"153",77,1,"LS","Low_Stress","Mindfulness",2,2019-02-12,680.0167,324.4404,511,197,300,0.3869048,0.5971074,189,8,0.3710317,0.01606426,54268.75,0.03153817,0.01119696,0.3034096,1.12101,919.7145,143.0582,575,574.903846153846,151.723602484472,40,19,820,341.2724,22241.06,240.0057,112.6339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,12,16,17,16,13,"intended",253.5,76.6,127.1,223.9,0.266,0.092,0.088,0.072
"154",77,2,"HS","High_Stress","Mindfulness",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"intended",NA,NA,NA,NA,NA,NA,NA,NA
"155",78,1,"LS","Low_Stress","Reappraisal",2,2019-02-12,801.34,338.1482,537,105,426,0.2043222,0.7971311,98,7,0.1905697,0.01380671,30896.88,0.0483357,0.01854846,1.096483,1.22133,954.6677,108.694,690,689.875700934579,5.93064182194617,40,18,655,347.5121,20347.91,223.5203,76.65971,71.6098765432099,NA,0.68641975308642,115.887254901961,50.728431372549,0.651960784313726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,11,10,14,14,13,"intended",678.3,391.3,226.2,159.4,0.062,0.15,0.247,0.15
