"","id","session","stresscond","stresslevel","group","order","date","warehouse_Time_to_eliminate_enemies_total","warehouse_Distance_rifle_moved_total","warehouse_Shots_fired_total","warehouse_Number_of_hits_total","warehouse_Number_of_misses_total","warehouse_Hits_per_shots_fired_total","warehouse_Misses_per_shots_fired_total","warehouse_Hits_on_enemies_total","warehouse_Hits_on_hostages_total","warehouse_Hits_on_enemies_per_shots_fired_total","warehouse_Hits_on_hostages_per_shots_fired_total","warehouse_Points_per_shots_fired_total","warehouse_Average_total_radial_error_of_all_chest_shots_fired_total","warehouse_Average_total_radial_error_of_all_head_shots_fired_total","warehouse_Standard_deviation_average_total_radial_error_per_chest_shots_fired_total","warehouse_Standard_deviation_average_total_radial_error_per_head_shots_fired_total","warehouse_Time_to_aim_at_avatars_total","warehouse_Time_until_action_taken_total","warehouse_Total_performance_score","warehouse_Total_performance_score_rep","warehouse_Total_performance_score_revtime","range_shots_fired","range_total_hits","range_total_points","range_total_radial_error","range_total_standard_deviation","range_total_time_to_aim","range_total_time_to_shoot","HR.baseline","HRV.baseline","HRConfidenceGT50.baseline","HR.warehouse","HRV.warehouse","HRConfidenceGT50.warehouse","meanscl_baseline","meanscl_warehouse","scrnsf_baseline","scrnsf_warehouse","scramp_baseline","scramp_warehouse","scrrise_baseline","scrrise_warehouse","scrrec_baseline","scrrec_warehouse","scronset_baseline","scronset_warehouse","STICSACOG_BL","STICSASOM_BL","STICSACOG_PT","STICSASOM_PT","STICSACOG_PW","STICSASOM_PW","sample_timing","aa_mean_time1","aa_mean_time2","aa_mean_time3","aa_mean_time4","cort_mean_time1","cort_mean_time2","cort_mean_time3","cort_mean_time4"
"44",22,2,"LS","Low_Stress","Control",1,2018-06-29,722.8504,370.0417,1055,197,829,0.1931818,0.785782,188,9,0.1859504,0.008806262,53650,0.02546821,0.005918366,0.9101148,0.7539816,949.8752,113.2156,568.5,568.450664136622,62.0965732087227,40,11,345,215.6207,5106.683,87.08492,26.94315,74.5642857142857,50.3333333333333,0.988095238095238,82.1228893058161,NA,0.377110694183865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,13,10,14,15,14,"intended",21,21.8,15.7,15.9,0.443,0.14,0.118,0.114
"45",23,1,"LS","Low_Stress","Control",2,2018-06-28,768.6288,396.1552,1037,181,820,0.1790307,0.791411,177,4,0.1750742,0.003984064,50425,0.03289912,0.007985993,1.071939,1.703825,969.0909,93.73139,713.5,713.312921890068,94.0717213114754,40,10,315,190.6535,3682.814,140.2189,14.40298,83.15,NA,0.935714285714286,137.656862745098,NA,0.00196078431372549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,11,16,21,NA,NA,"intended",115,86.6,48.7,NA,0.385,0.155,0.135,NA
"46",23,2,"HS","High_Stress","Control",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,14,405,276.3804,10223.83,163.867,26.61925,81.3428571428571,NA,1,90.9850877192982,57.9666666666667,0.763157894736842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,11,17,11,19,15,"intended",120.9,74.3,47.6,104.3,0.192,0.13,0.096,0.181
"47",24,1,"LS","Low_Stress","Reappraisal",2,2018-06-28,729.8799,433.2127,628,178,437,0.2843451,0.7048093,175,3,0.2795527,0.005008347,49493.75,0.02110364,0.01124923,0.11967,1.779292,921.84,141.0288,709.5,709.468899521531,147.488313856427,40,9,315,175.6736,2790.66,131.3183,29.51157,74.7785714285714,NA,1,90.8264705882353,48.3039215686275,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,14,14,14,12,15,"intended",187.8,341.4,259.3,176.5,0.168,0.257,0.229,0.185
"48",24,2,"HS","High_Stress","Reappraisal",2,2018-07-02,637.2947,353.5609,772,205,526,0.2715877,0.6818182,201,4,0.2674095,0.005376344,58146.88,0.06641288,0.006241441,6.037509,0.4048361,944.0618,103.8411,594.5,594.749674902471,225.006338028169,40,17,550,308.0135,16240.7,86.7266,35.05456,84.1854166666667,57.7979166666667,0.995833333333333,104.217647058824,NA,0.379411764705882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,11,12,13,13,18,"intended",192.9,231.7,112.2,97.6,0.345,0.383,0.293,0.244
"49",25,1,"LS","Low_Stress","Mindfulness",2,2018-07-02,717.1199,426.4365,629,207,393,0.3312,0.630363,202,5,0.3232,0.008025683,54971.88,0.02681115,0.006171609,0.3534924,0.3316211,929.496,133.3759,661,661.247960848287,164.509900990099,40,7,220,135.1428,1356.098,146.176,15.81575,80.7238095238095,93.4452380952381,0.652380952380952,105.121929824561,64.3263157894737,0.31140350877193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,18,22,13,21,18,"intended",80.7,91.8,127.8,126.1,0.61,0.399,0.261,0.189
"50",25,2,"HS","High_Stress","Mindfulness",2,2018-07-03,680.3319,382.1425,508,202,296,0.4060606,0.5826772,200,2,0.4020833,0.004089979,58118.75,0.1169772,0.00409609,9.05657,0.06585675,921.2331,141.4661,697.5,697.316568047337,256.110294117647,40,18,610,337.0975,19878.74,85.86037,13.75643,89.4708333333333,NA,0.358333333333333,106.53137254902,62.7049019607843,0.611764705882353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,12,17,15,18,20,"intended",120.2,131.2,288.6,138.1,0.246,0.479,0.348,0.275
"51",26,1,"HS","High_Stress","Control",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,1,15,19.05445,9.789188,474.2609,19.58242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,11,10,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",26,2,"LS","Low_Stress","Control",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",27,1,"HS","High_Stress","Mindfulness",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",27,2,"LS","Low_Stress","Mindfulness",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",28,1,"LS","Low_Stress","Mindfulness",2,2018-07-12,801.2823,551.8514,1084,7,1077,0.007056451,0.9949444,2,5,0.002016129,0.005112474,600,0,0.0001625737,0,0.00004179722,1060.727,2.274886,701.5,701.277008310249,-2,40,4,85,74.31291,273.1963,118.409,6.852278,55.7876923076923,NA,0.0553846153846154,64.4879032258064,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,14,19,19,23,26,"intended",72.8,73.1,66.3,100.2,0.643,0.367,0.354,0.315
